方法名,所属分类,行号,返回类型,参数,说明,实现状态,优先级
l0,设备管理员/硬件,4510,boolean,,检查硬件功能是否可用,待实现,P1
l1,设备管理员/硬件,4528,void,,请求硬件功能,待实现,P1
m,设备信息(亮度/超时/通话),4585,boolean,,检查电话服务是否可用,待实现,P1
m0,设备信息(亮度/超时/通话),4603,boolean,,检查电话服务是否启用,待实现,P1
m1,设备管理员/硬件,4702,void,,请求电话功能访问,待实现,P1
n,设备信息(亮度/超时/通话),4759,boolean,,检查是否有电话状态权限,待实现,P1
n0,设备信息(亮度/超时/通话),4773,boolean,,检查电话状态是否可用,待实现,P1
n1,权限/辅助功能管理,4802,boolean,,请求电话状态权限,已实现,✓
o,设备管理员/硬件,4821,boolean,,检查电话状态信息是否可用,待实现,P1
o0,设备管理员/硬件,4839,boolean,,检查电话状态信息是否启用,待实现,P1
o1,设备管理员/硬件,4850,boolean,List var0,检查电话状态列表是否有效,待实现,P1
p,权限/辅助功能管理,4890,boolean,,检查是否应该读取SMS,待实现,P1
p0,权限/辅助功能管理,4904,boolean,,检查SMS读取是否启用,待实现,P1
p1,屏幕解锁/锁定,4908,boolean,ReqUnlockDeviceVO param0,处理设备解锁请求,待实现,P0
q,权限/辅助功能管理,5210,boolean,,检查辅助功能服务是否有效,待实现,P0
q0,权限/辅助功能管理,5228,LinkedHashSet,,获取所有启用的辅助功能服务,待实现,P0
q1,屏幕解锁/锁定,5244,boolean,ReqUnlockDeviceVO var0,验证设备解锁请求,待实现,P0
r,手势/触摸自动化,5666,boolean,,检查是否应该执行手势,待实现,P1
r0,手势/触摸自动化,5678,boolean,,检查手势是否启用,待实现,P1
r1,UI自动化(节点/过滤器),5694,CombineFilter,,为点坐标创建过滤器,待实现,P1
s,UI自动化(节点/过滤器),5705,boolean,Integer var0 Integer var1,检查整数范围条件,待实现,P2
s0,UI自动化(节点/过滤器),5709,boolean,String var0,检查字符串条件,待实现,P2
s1,UI自动化(节点/过滤器),5732,CombineFilter,,创建替代点过滤器,待实现,P1
t,UI自动化(节点/过滤器),5744,boolean,List var0,检查列表条件是否有效,待实现,P2
t0,手势/触摸自动化,5817,void,boolean var0,启用/禁用手势执行,待实现,P1
t1,UI自动化(节点/过滤器),5833,CombineFilter,,创建第三点过滤器,待实现,P1
u,手势/触摸自动化,5844,boolean,,检查手势执行是否启用,待实现,P1
u0,Activity启动,5861,Intent,String var0,创建启动Intent,待实现,P2
u1,其他/杂项,5876,boolean,,检查是否处于执行模式,待实现,P2
v,UI自动化(节点/过滤器),5907,CombineFilter,,创建第四点过滤器,待实现,P1
v0,UI自动化(节点/过滤器),5919,String,String var0 String var1 String var2,构建约束字符串,待实现,P2
v1,UI自动化(节点/过滤器),6006,boolean,int var0,检查约束是否有效,待实现,P2
w,权限/辅助功能管理,6021,void,,启用辅助功能服务,待实现,P0
w0,应用信息(PackageManager),6071,LinkedList,,获取所有已安装包,待实现,P2
w1,证书/TLS/加密,6317,File,X509CertImpl var0,导出证书到文件,待实现,P2
x,文件/路径操作,6339,boolean,,检查文件是否可用,待实现,P2
x0,上下文/应用管理,6355,String,,获取应用版本信息,待实现,P2
x1,UI自动化(节点/过滤器),6377,boolean,Long var0,检查长整数条件是否有效,待实现,P2
y,位图/图像操作,6396,Bitmap,Bitmap var0,转换bitmap格式,待实现,P2
y0,上下文/应用管理,6405,String,,获取应用版本字符串,待实现,P2
y1,UI自动化(节点/过滤器),6409,CombineFilter,,创建第五点过滤器,待实现,P1
z,网络/WiFi状态,6416,WIFIState,Context var0,获取WiFi连接状态,待实现,P2
z0,网络/WiFi状态,6479,NetStateVO,,获取完整网络状态,已实现,✓
